WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,TimeStamp
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:20
SW,SE,0.44,1.34,Calm,False,False,2023-11-01:10:58:21
SW,SE,0.44,1.34,Calm,False,True,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,True,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,True,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,False,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,True,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,True,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,True,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,False,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,True,2023-11-01:10:58:21
SW,SE,0.22,1.34,Calm,False,True,2023-11-01:10:58:22
SW,SE,0.22,1.34,Calm,False,True,2023-11-01:10:58:22
SW,SE,0.22,1.34,Calm,False,False,2023-11-01:10:58:22
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:22
W,S,0.22,1.34,Calm,False,False,2023-11-01:10:58:22
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:22
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:22
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:22
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:22
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:22
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,False,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,False,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:23
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:24
W,S,0.44,1.34,Calm,False,True,2023-11-01:10:58:24
W,S,0.44,1.34,Calm,False,False,2023-11-01:10:58:24
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:24
W,S,0.22,1.34,Calm,False,False,2023-11-01:10:58:24
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:24
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:24
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:24
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:24
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:24
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:25
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:25
W,S,0.22,1.34,Calm,False,True,2023-11-01:10:58:25
,,,,Calm,False,False,2023-11-01:10:58:25
,,,,Calm,False,False,2023-11-01:10:58:25
,,,,Calm,False,False,2023-11-01:10:58:25
,,,,Calm,False,False,2023-11-01:10:58:25
,,,,Calm,False,False,2023-11-01:10:58:25
,,,,Calm,False,False,2023-11-01:10:58:25
,,,,Calm,False,False,2023-11-01:10:58:25
,,,,Calm,False,False,2023-11-01:10:58:26
,,,,Calm,False,False,2023-11-01:10:58:26
,,,,Calm,False,False,2023-11-01:10:58:26
,,,,Calm,False,False,2023-11-01:10:58:26
,,,,Calm,False,False,2023-11-01:10:58:26
,,,,Calm,False,False,2023-11-01:10:58:26
,,,,Calm,False,False,2023-11-01:10:58:26
,,,,Calm,False,False,2023-11-01:10:58:26
NW,SW,0.22,1.34,Calm,False,False,2023-11-01:10:58:26
NW,SW,0.22,1.34,Calm,False,True,2023-11-01:10:58:26
NW,SW,0.22,1.34,Calm,False,True,2023-11-01:10:58:27
NW,SW,0.22,1.34,Calm,False,True,2023-11-01:10:58:27
NW,SW,0.22,1.34,Calm,False,True,2023-11-01:10:58:27
NW,SW,0.22,1.34,Calm,False,True,2023-11-01:10:58:27
,,,,Calm,False,False,2023-11-01:10:58:27
,,,,Calm,False,False,2023-11-01:10:58:27
,,,,Calm,False,False,2023-11-01:10:58:27
,,,,Calm,False,False,2023-11-01:10:58:27
,,,,Calm,False,False,2023-11-01:10:58:27
,,,,Calm,False,False,2023-11-01:10:58:27
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:28
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:29
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:30
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:31
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:32
,,,,Calm,False,False,2023-11-01:10:58:33
,,,,Calm,False,False,2023-11-01:10:58:33
,,,,Calm,False,False,2023-11-01:10:58:33
,,,,Calm,False,False,2023-11-01:10:58:33
,,,,Calm,False,False,2023-11-01:10:58:33
,,,,Calm,False,False,2023-11-01:10:58:33
,,,,Calm,False,False,2023-11-01:10:58:33
,,,,Calm,False,False,2023-11-01:10:58:33
,,,,Calm,False,False,2023-11-01:10:58:33
